x,y,z
0.0429687,0.565674,0.782227
0.0432129,0.562988,0.786377
0.0375977,0.5625,0.788574
0.0344238,0.55957,0.785889
0.036377,0.561523,0.784912
0.0395508,0.562256,0.785645
0.0390625,0.563721,0.785889
0.0378418,0.564697,0.78833
0.0397949,0.561523,0.787842
0.0388184,0.562256,0.789795
0.0341797,0.561279,0.786377
0.0358887,0.55957,0.783691
0.0402832,0.562256,0.784912
0.0419922,0.562988,0.782227
0.0422363,0.563477,0.782959
0.0380859,0.564941,0.787354
0.0380859,0.564941,0.789551
0.0415039,0.565918,0.785156
0.0393066,0.566895,0.783447
0.0400391,0.564697,0.785645
0.0405273,0.564697,0.783936
0.0383301,0.56543,0.781006
0.0383301,0.566895,0.78125
0.0356445,0.563477,0.784424
0.0341797,0.560791,0.783936
0.0371094,0.563232,0.783203
0.0378418,0.564941,0.781494
0.0375977,0.568604,0.782959
0.0410156,0.564697,0.783203
0.0415039,0.55957,0.781982
0.0393066,0.561279,0.788818
0.0407715,0.564697,0.785156
0.0405273,0.562744,0.776367
0.0371094,0.561035,0.775635
0.0361328,0.562988,0.775391
0.0380859,0.562744,0.778564
0.0393066,0.563477,0.780762
0.0393066,0.5625,0.781006
0.0383301,0.561035,0.781982
0.036377,0.561523,0.784424
0.0344238,0.564941,0.78833
0.0354004,0.563477,0.784912
0.0375977,0.564697,0.78125
0.0358887,0.567383,0.7854
0.0358887,0.566406,0.78418
0.0373535,0.566406,0.780762
0.0356445,0.562744,0.782227
0.0351562,0.565918,0.781982
0.0351562,0.565186,0.783691
0.0375977,0.562744,0.786621
0.0371094,0.565918,0.786621
0.0380859,0.56665,0.783936
0.0405273,0.562256,0.783447
0.0405273,0.560547,0.786377
0.0407715,0.56543,0.784668
0.0368652,0.565186,0.781494
0.0373535,0.564453,0.786377
0.0368652,0.565674,0.787354
0.0373535,0.562988,0.782715
0.0393066,0.55957,0.783203
0.0383301,0.563721,0.784912
0.036377,0.566895,0.78418
0.0358887,0.565186,0.784912
0.036377,0.565186,0.780518
0.0371094,0.564453,0.777832
0.0405273,0.558838,0.785156
0.0397949,0.561035,0.789307
0.0397949,0.56665,0.788086
0.041748,0.565918,0.789551
0.0402832,0.566895,0.789062
0.0407715,0.565186,0.782715
0.0395508,0.561523,0.780518
0.0375977,0.562012,0.78418
0.0393066,0.564941,0.783203
0.041748,0.564697,0.77832
0.0410156,0.561279,0.778809
0.0407715,0.561035,0.781982
0.0412598,0.5625,0.784668
0.0366211,0.562988,0.788086
0.0361328,0.563232,0.786621
0.0375977,0.562012,0.784668
0.036377,0.55957,0.782227
0.0368652,0.561035,0.777344
0.0356445,0.564453,0.774902
0.0371094,0.564697,0.781006
0.0371094,0.563965,0.7854
0.034668,0.563477,0.780029
0.0351562,0.563965,0.780029
0.0371094,0.562744,0.780029
0.0393066,0.563965,0.780518
0.0419922,0.563721,0.782715
0.041748,0.559814,0.783691
0.0368652,0.559814,0.783936
0.0393066,0.563965,0.782471
0.0424805,0.564209,0.780518
0.0412598,0.563232,0.781982
0.0388184,0.564697,0.7854
0.0368652,0.564941,0.7854
0.0373535,0.563477,0.783447
0.0378418,0.564697,0.787109
0.0371094,0.567139,0.787598
0.0388184,0.565674,0.78418
0.0388184,0.563965,0.786133
0.0385742,0.563477,0.781982
0.0419922,0.564697,0.777588
0.0385742,0.566406,0.780029
0.0368652,0.565918,0.782227
0.0402832,0.56543,0.787598
0.0412598,0.566406,0.787842
0.0407715,0.567139,0.781982
0.0424805,0.56665,0.781006
0.0410156,0.564453,0.782471
0.036377,0.5625,0.783447
0.0351562,0.564209,0.782715
0.036377,0.564697,0.78125
0.0368652,0.563232,0.782471
0.036377,0.568115,0.7854
0.0393066,0.569824,0.788818
0.0410156,0.566162,0.786133
0.0402832,0.565186,0.783447
0.0385742,0.565186,0.784912
0.0400391,0.56543,0.782715
0.0432129,0.564697,0.782471
0.0397949,0.5625,0.776855
0.0375977,0.563477,0.778809
0.0375977,0.563965,0.781006
0.0390625,0.562256,0.778809
0.0412598,0.563721,0.781982
0.0407715,0.567871,0.782227
0.041748,0.567139,0.782227
0.041748,0.562744,0.781982
0.0407715,0.563721,0.785156
0.0407715,0.564697,0.78833
0.0412598,0.5625,0.786865
0.0405273,0.563965,0.787598
0.0383301,0.561523,0.790527
0.0366211,0.560059,0.786865
0.0366211,0.562012,0.779297
0.0383301,0.564209,0.779785
0.0375977,0.563721,0.781494
0.0375977,0.560303,0.781738
0.0375977,0.562012,0.785156
0.0385742,0.561523,0.781494
0.0412598,0.560547,0.783691
0.0393066,0.561035,0.783691
0.0366211,0.562744,0.783447
0.0378418,0.563965,0.789795
0.0361328,0.564697,0.784912
0.0361328,0.56665,0.78125
0.0375977,0.561768,0.783936
0.0371094,0.557617,0.78125
0.0385742,0.562988,0.7771
0.0378418,0.567627,0.783203
0.0366211,0.565918,0.789795
0.0410156,0.562988,0.786621
0.0410156,0.563232,0.783936
0.0375977,0.561035,0.786133
0.0378418,0.562256,0.787109
0.0385742,0.564941,0.784912
0.0412598,0.562744,0.783447
0.0385742,0.559814,0.781738
0.0371094,0.560303,0.777588
0.0397949,0.5625,0.782471
0.0407715,0.560547,0.785156
0.0397949,0.560059,0.781494
0.0378418,0.56665,0.780029
0.0366211,0.566406,0.783203
0.0375977,0.561035,0.785645
0.0378418,0.563232,0.782227
0.0395508,0.563232,0.782471
0.0422363,0.561523,0.785889
0.0412598,0.563721,0.787842
0.0402832,0.564453,0.786377
0.0415039,0.562012,0.782715
0.0439453,0.564209,0.782471
0.0439453,0.56543,0.7854
0.0400391,0.562256,0.785156
0.0383301,0.562012,0.783691
0.0393066,0.564697,0.782471
0.0397949,0.566406,0.781006
0.0412598,0.565186,0.784424
0.0422363,0.562744,0.787109
0.0410156,0.559082,0.786377
0.0368652,0.560059,0.785156
0.0366211,0.562012,0.787354
0.0402832,0.561279,0.786377
0.0393066,0.563232,0.782227
0.0397949,0.564453,0.7854
0.0429687,0.564941,0.783691
0.0444336,0.564941,0.783447
0.043457,0.563721,0.784424
0.0397949,0.562012,0.783691
0.0388184,0.563721,0.783936
0.0424805,0.563721,0.7854
0.0412598,0.563477,0.783447
0.0385742,0.566406,0.780518
0.0395508,0.564453,0.78418
0.0390625,0.559814,0.790039
0.0361328,0.560547,0.791016
0.0366211,0.562012,0.784912
0.0383301,0.562988,0.784912
0.0393066,0.563477,0.786377
0.041748,0.564941,0.785889
0.0407715,0.566895,0.783691
0.0400391,0.565918,0.784912
0.0375977,0.567627,0.789307
0.0368652,0.565674,0.789062
0.0400391,0.562988,0.786621
0.0395508,0.56543,0.782471
0.0361328,0.564941,0.782227
0.0380859,0.562256,0.7854
0.0405273,0.563721,0.786865
0.0410156,0.563965,0.783691
0.0395508,0.559814,0.780518
0.0373535,0.561523,0.783203
0.0373535,0.563965,0.784668
0.0380859,0.563965,0.782715
0.0373535,0.563477,0.779785
0.0371094,0.561279,0.78125
0.0415039,0.563721,0.78418
0.0424805,0.562012,0.78833
0.041748,0.55957,0.794922
0.0412598,0.563477,0.792236
0.0405273,0.565674,0.787109
0.0375977,0.565674,0.788818
0.0354004,0.566406,0.783691
0.0388184,0.564941,0.776367
0.0395508,0.566162,0.774902
0.0373535,0.567871,0.777832
0.034668,0.566162,0.782471
0.0380859,0.566162,0.780762
0.0424805,0.565674,0.775391
0.0371094,0.565918,0.779053
0.0375977,0.564697,0.790039
0.041748,0.562012,0.7854
0.0400391,0.560791,0.77832
0.0405273,0.560791,0.784424
0.0395508,0.564453,0.787354
0.0393066,0.563721,0.785645
0.0415039,0.563721,0.785645
0.0407715,0.566162,0.78833
0.0407715,0.5625,0.786377
0.0397949,0.561279,0.78418
0.0358887,0.562744,0.783447
0.0366211,0.563721,0.784424
0.0402832,0.563721,0.783447
0.0380859,0.56543,0.779053
0.0378418,0.564941,0.782715
0.0397949,0.561035,0.785645
0.0351562,0.55835,0.786377
0.0339355,0.557861,0.782227
0.0385742,0.5625,0.775391
0.0400391,0.566406,0.776611
0.0395508,0.56665,0.78125
0.0375977,0.565918,0.782959
0.0393066,0.563477,0.782959
0.0390625,0.562744,0.78125
0.0344238,0.562256,0.781982
0.0373535,0.561035,0.783936
0.0395508,0.563477,0.783691
0.0383301,0.566895,0.783447
0.0393066,0.567871,0.7854
0.0393066,0.564697,0.786377
0.0388184,0.562744,0.7854
0.0395508,0.564453,0.785645
0.0383301,0.562988,0.781494
0.0354004,0.562744,0.780273
0.0344238,0.564941,0.785645
0.0366211,0.563965,0.788086
0.0388184,0.563965,0.786621
0.0356445,0.564697,0.788818
0.0361328,0.563721,0.787842
0.0388184,0.564697,0.781982
0.0385742,0.564209,0.78418
0.0397949,0.564941,0.787842
0.0375977,0.565674,0.786133
0.0373535,0.567139,0.784912
0.0371094,0.566406,0.781494
0.0371094,0.560791,0.781494
0.0388184,0.55835,0.781982
0.0366211,0.562988,0.781738
0.0378418,0.566162,0.783203
0.0407715,0.562012,0.781738
0.0415039,0.5625,0.782959
0.0407715,0.562988,0.786133
0.0405273,0.562988,0.78418
0.0378418,0.566162,0.782959
0.0354004,0.565186,0.784912
0.0378418,0.564209,0.783691
0.0371094,0.564209,0.786377
0.0371094,0.564697,0.785889
0.0385742,0.565674,0.781494
0.0388184,0.564941,0.779541
0.0388184,0.564941,0.779785
0.0407715,0.567139,0.785889
0.0415039,0.567139,0.786621
0.041748,0.564941,0.78125
0.0424805,0.565918,0.780518
0.0422363,0.566406,0.782471
0.0400391,0.562988,0.779053
0.0351562,0.558594,0.7771
0.0397949,0.559326,0.784668
0.0439453,0.560791,0.782959
0.0405273,0.561768,0.777344
0.0424805,0.562012,0.781738
0.0444336,0.562256,0.7854
0.0385742,0.564453,0.783447
0.0378418,0.564941,0.781738
0.0402832,0.564697,0.782959
0.0390625,0.562744,0.783203
0.0390625,0.564941,0.785645
0.0402832,0.565918,0.787109
0.0422363,0.564209,0.78833
0.0415039,0.562988,0.785645
0.0397949,0.560059,0.780518
0.0385742,0.561768,0.780518
0.0378418,0.56543,0.780273
0.0383301,0.564697,0.78418
0.0393066,0.564453,0.790283
0.0378418,0.56665,0.786377
0.0388184,0.567383,0.785889
0.0415039,0.567871,0.788574
0.0368652,0.564209,0.784668
0.0385742,0.560791,0.786133
0.045166,0.56665,0.783203
0.0444336,0.567139,0.782715
0.0412598,0.564209,0.787354
0.0368652,0.565186,0.786621
0.0368652,0.563965,0.785645
0.0397949,0.562744,0.787598
0.0380859,0.564453,0.784424
0.0385742,0.568604,0.783203
0.0407715,0.566162,0.787109
0.041748,0.561768,0.784912
0.0412598,0.562988,0.781494
0.0393066,0.564453,0.780518
0.0368652,0.565674,0.780762
0.0354004,0.566895,0.78418
0.0371094,0.56665,0.786865
0.0385742,0.562988,0.785156
0.0412598,0.560303,0.7854
0.0427246,0.560303,0.78418
0.041748,0.561768,0.782959
0.0395508,0.562744,0.78418
0.0385742,0.562012,0.787109
0.0405273,0.562744,0.785645
0.0405273,0.561523,0.781006
0.0375977,0.5625,0.783691
0.0383301,0.563477,0.782227
0.0415039,0.563721,0.777832
0.0395508,0.564453,0.782959
0.0375977,0.562012,0.788086
0.036377,0.559814,0.785645
0.0380859,0.562256,0.782715
0.0412598,0.564453,0.781738
0.0424805,0.563477,0.783936
0.0432129,0.562012,0.783936
0.0412598,0.563721,0.779785
0.0410156,0.565186,0.781494
0.0412598,0.565674,0.783936
0.0410156,0.563721,0.778564
0.0412598,0.562256,0.780029
0.041748,0.563232,0.7854
0.0410156,0.563965,0.780029
0.0397949,0.562988,0.777344
0.0415039,0.560547,0.780029
0.0400391,0.561035,0.781006
0.0378418,0.562988,0.786133
0.0383301,0.56543,0.786377
0.0371094,0.565186,0.783936
0.0402832,0.565674,0.783447
0.0415039,0.566895,0.782227
0.0405273,0.567139,0.7854
0.0422363,0.5625,0.784912
0.0422363,0.561279,0.779785
0.0402832,0.565186,0.777832
0.0397949,0.562256,0.780762
0.0400391,0.561035,0.782959
0.0371094,0.565918,0.783691
0.0344238,0.568359,0.783203
0.0385742,0.564941,0.779785
0.0441895,0.561035,0.781494
0.0429687,0.562012,0.785645
0.0402832,0.564453,0.779541
0.0371094,0.566895,0.775879
0.0393066,0.565918,0.783936
0.0419922,0.561768,0.788086
0.0388184,0.561279,0.7854
0.0366211,0.563721,0.782959
0.0366211,0.566162,0.782959
0.0378418,0.565918,0.783691
0.0358887,0.56665,0.781738
0.0354004,0.565918,0.786133
0.0371094,0.564453,0.791016
0.0375977,0.56543,0.791748
0.0385742,0.563721,0.783691
0.0378418,0.561768,0.779297
0.0380859,0.562988,0.784912
0.0383301,0.561768,0.785645
0.0407715,0.561035,0.783936
0.0388184,0.561523,0.782227
0.0361328,0.561768,0.782227
0.0390625,0.56543,0.784912
0.0410156,0.566895,0.785645
0.0407715,0.564941,0.782227
0.0397949,0.564209,0.784668
0.0393066,0.564453,0.785156
0.0388184,0.564209,0.779785
0.0375977,0.563477,0.782715
0.036377,0.56543,0.783447
0.0368652,0.565186,0.783936
0.0380859,0.564941,0.788574
0.0380859,0.564941,0.7854
0.0373535,0.562256,0.78418
0.0390625,0.563965,0.785889
0.0366211,0.566895,0.785889
0.0356445,0.567383,0.78418
0.0378418,0.567139,0.786621
0.0388184,0.564697,0.787842
0.0395508,0.564209,0.780029
0.0373535,0.565674,0.780273
0.0366211,0.563232,0.787598
0.0380859,0.563965,0.789307
0.0368652,0.564209,0.787109
