p,q,r,theta_1,theta_2,theta_3,theta_4
0.221738,0.000376597,0.000809549,0.384262,-0.0130386,0.245437,0.17334
0.2337,0.00161001,0.000644779,0.384262,-0.0138054,0.245437,0.17334
0.246571,0.0018295,0.000423586,0.384262,-0.0138054,0.245437,0.172573
0.259534,0.00121672,0.000195077,0.384262,-0.0138054,0.24467,0.172573
0.272785,0.000472814,0.00074496,0.383495,-0.0145731,0.24467,0.172573
0.285594,-0.000372432,0.000995471,0.383495,-0.0145731,0.24467,0.171806
0.298189,-0.00167753,0.000940783,0.382729,-0.0145731,0.243903,0.171806
0.310371,-0.00154029,-3.39E-05,0.382729,-0.0153399,0.243903,0.171039
0.323743,-0.0015943,-3.28E-05,0.382729,-0.0153399,0.243903,0.171039
0.337657,0.000158273,0.000405742,0.381962,-0.0161066,0.243136,0.171039
0.351509,0.00140499,-0.00115458,0.381962,-0.0161066,0.243136,0.170272
0.366654,0.00172537,-0.00088484,0.381194,-0.0168734,0.243136,0.170272
0.380217,0.00137109,-0.000394726,0.381194,-0.0168734,0.242369,0.169505
0.393213,0.000746407,-0.0015737,0.380427,-0.0176411,0.242369,0.169505
0.407121,0.000606127,-0.00256648,0.380427,-0.0176411,0.241602,0.168738
0.419938,0.00145713,-0.00222858,0.379661,-0.0184078,0.241602,0.168738
0.433091,0.00144992,-0.00245872,0.379661,-0.0184078,0.240835,0.167971
0.446152,-0.000357516,-0.00309625,0.378894,-0.0191746,0.240835,0.167204
0.459937,-0.000126816,-0.0037489,0.378894,-0.0199413,0.240068,0.167204
0.473358,-0.000338301,-0.00265316,0.378126,-0.0199413,0.240068,0.166437
0.486696,-0.000535346,-0.0020259,0.377359,-0.020709,0.239301,0.16567
0.499837,-0.000353418,-0.00253184,0.376593,-0.0214758,0.239301,0.16567
0.513218,9.54E-06,-0.00353272,0.376593,-0.0214758,0.238534,0.164903
0.526861,-0.000521183,-0.00456282,0.375826,-0.0222425,0.237767,0.164136
0.539055,-0.000203073,-0.00361895,0.375058,-0.0230093,0.237767,0.163369
0.551426,-0.0005605,-0.00223263,0.375058,-0.023777,0.237,0.162602
0.565,-0.00177905,-0.00297395,0.374291,-0.023777,0.236233,0.162602
0.577257,-0.00300641,-0.00432623,0.373525,-0.0245438,0.236233,0.161835
0.58836,-0.00377298,-0.00450479,0.372758,-0.0253105,0.235466,0.161068
0.599827,-0.00454772,-0.00427277,0.37199,-0.0253105,0.234699,0.160301
0.612788,-0.00467233,-0.00575229,0.371223,-0.0260773,0.234699,0.159534
0.625141,-0.00496995,-0.00673253,0.370457,-0.026845,0.233932,0.158767
0.637804,-0.00341581,-0.00571726,0.370457,-0.0276117,0.233165,0.158
0.65131,-0.00174166,-0.00543416,0.36969,-0.0283785,0.232398,0.157233
0.664329,-0.00084319,-0.00427408,0.368922,-0.0291452,0.231631,0.156466
0.677619,-0.00103971,-0.00422002,0.368155,-0.0299129,0.230865,0.155699
0.690288,-0.00302829,-0.00382268,0.367389,-0.0306797,0.230865,0.154932
0.701745,-0.00302456,-0.00300661,0.366622,-0.0306797,0.230097,0.154165
0.714395,-0.00203706,-0.00269915,0.365854,-0.0314465,0.22933,0.153399
0.727637,-0.000933885,-0.00166939,0.365088,-0.0322132,0.228563,0.152631
0.739946,-0.000709802,-0.00117615,0.364321,-0.0329809,0.227797,0.151864
0.749615,-0.000969306,-0.00147153,0.363554,-0.0337477,0.227029,0.151097
0.759488,-0.00196009,-0.00189573,0.362786,-0.0345144,0.226262,0.150331
0.771465,-0.00306079,-0.00186028,0.36202,-0.0352812,0.225495,0.149563
0.784469,-0.00508378,-0.0017101,0.361253,-0.0360489,0.224729,0.148796
0.795941,-0.00484689,-0.000284092,0.360486,-0.0368156,0.223961,0.148029
0.808918,-0.00328694,-0.000167736,0.359718,-0.0375824,0.223194,0.147263
0.821045,-0.00267657,0.000802627,0.358952,-0.0383492,0.221661,0.146495
0.832785,-0.00289935,0.000631085,0.358185,-0.0391169,0.220893,0.145728
0.844287,-0.00345966,-0.000988619,0.357418,-0.0398836,0.220126,0.144961
0.856713,-0.00338396,-0.000983255,0.35665,-0.0406504,0.219359,0.144195
0.869859,-0.00162251,-3.07E-05,0.355884,-0.0414171,0.218593,0.143427
0.882209,-0.000913314,-0.000121595,0.355117,-0.0421848,0.217825,0.14266
0.891916,-0.000780024,-0.000211255,0.35435,-0.0429516,0.216291,0.141893
0.901529,-0.00101496,-0.00153984,0.353582,-0.0437183,0.215525,0.140359
0.912357,-0.00200603,-0.00337249,0.352816,-0.0444851,0.214757,0.139592
0.923532,-0.00242493,-0.0026665,0.352049,-0.0452528,0.213223,0.138825
0.935044,-0.00253106,-0.00220386,0.351282,-0.0460196,0.212457,0.138059
0.945877,-0.00307985,-0.00144053,0.350514,-0.0475531,0.211689,0.137291
0.956699,-0.00305702,-0.00182504,0.348981,-0.0483208,0.210155,0.136524
0.968095,-0.0021884,-0.00253094,0.348214,-0.0490875,0.209389,0.135757
0.980269,-0.00291052,-0.00393134,0.347446,-0.0498543,0.208621,0.134991
0.992033,-0.00369935,-0.00311514,0.34668,-0.050621,0.207088,0.134223
1.00313,-0.00346559,-0.00201561,0.345146,-0.0513887,0.206321,0.133456
1.01489,-0.00267235,-0.00219533,0.344378,-0.0529222,0.205553,0.132689
1.02676,-0.00241318,-0.00373336,0.343612,-0.053689,0.20402,0.131923
