p,q,r,theta_1,theta_2,theta_3,theta_4
-1.17553,0.00780005,0.00865632,0.0552235,-0.35435,-0.156466,-0.154165
-1.18676,0.00780048,0.0101503,0.056757,-0.353582,-0.154932,-0.153399
-1.19662,0.0068045,0.00998997,0.0582914,-0.352049,-0.154165,-0.152631
-1.20616,0.00656473,0.00893159,0.0598249,-0.350514,-0.152631,-0.151097
-1.21581,0.00645441,0.00926126,0.0605927,-0.349748,-0.151864,-0.150331
-1.22604,0.00672505,0.00887031,0.0621262,-0.348214,-0.150331,-0.149563
-1.2368,0.00687082,0.00873309,0.0636606,-0.34668,-0.149563,-0.148029
-1.24623,0.00761112,0.00889938,0.0644274,-0.345913,-0.148029,-0.147263
-1.25516,0.00735316,0.00939115,0.0659609,-0.344378,-0.146495,-0.145728
-1.26643,0.00676481,0.0101904,0.0674953,-0.343612,-0.144961,-0.144961
-1.27752,0.00733653,0.0103995,0.0690289,-0.342078,-0.143427,-0.143427
-1.28698,0.00890671,0.0105476,0.0697966,-0.341311,-0.141893,-0.141893
-1.29607,0.00972348,0.0105683,0.0713301,-0.339777,-0.140359,-0.141127
-1.30688,0.0100295,0.0117453,0.0728645,-0.338243,-0.138825,-0.139592
-1.31876,0.0110733,0.0119135,0.0736313,-0.337476,-0.138059,-0.138059
-1.32992,0.0113385,0.0114265,0.0751648,-0.335942,-0.136524,-0.136524
-1.34008,0.0106043,0.0094026,0.0766993,-0.334408,-0.134991,-0.134991
-1.34861,0.00869945,0.00762111,0.0782328,-0.333641,-0.133456,-0.133456
-1.35802,0.00774449,0.00661261,0.0790005,-0.332107,-0.131923,-0.131923
-1.36884,0.00812556,0.00819743,0.080534,-0.330573,-0.130388,-0.130388
-1.37907,0.00943379,0.0100023,0.0820684,-0.329039,-0.128855,-0.128855
-1.38948,0.0100252,0.0101888,0.083602,-0.327505,-0.12732,-0.12732
-1.3985,0.0101353,0.0092797,0.0851364,-0.326738,-0.125787,-0.125019
-1.40678,0.0090367,0.00818904,0.0859032,-0.325204,-0.124252,-0.123486
-1.41555,0.00717378,0.00681315,0.0874367,-0.32367,-0.122719,-0.121951
-1.42519,0.00611981,0.0065716,0.0889711,-0.322136,-0.121184,-0.120418
-1.43478,0.00685174,0.00702365,0.0905046,-0.320602,-0.120418,-0.118116
-1.44511,0.00742124,0.00780754,0.0928059,-0.319068,-0.118883,-0.116583
-1.45426,0.00643183,0.00750252,0.0943403,-0.317534,-0.11735,-0.115815
-1.46335,0.00665636,0.0073599,0.0958738,-0.315233,-0.115815,-0.114282
-1.47087,0.00744204,0.00691983,0.0974083,-0.313699,-0.114282,-0.112747
-1.47865,0.00734655,0.00639846,0.0989418,-0.312165,-0.112747,-0.111214
-1.4859,0.00588089,0.00614023,0.100475,-0.310631,-0.111214,-0.109679
-1.49433,0.00544737,0.0061001,0.102777,-0.309097,-0.109679,-0.108146
-1.50165,0.00429876,0.00561877,0.104311,-0.307563,-0.108912,-0.107379
-1.50909,0.00464093,0.00592761,0.105844,-0.305263,-0.107379,-0.105844
-1.51639,0.00509424,0.00518776,0.107379,-0.303728,-0.105844,-0.104311
-1.5228,0.00609891,0.00439665,0.108912,-0.302195,-0.104311,-0.102777
-1.53005,0.00595714,0.00387207,0.110447,-0.30066,-0.102777,-0.101243
-1.53807,0.00466129,0.00429074,0.11198,-0.299127,-0.101243,-0.0997086
-1.54552,0.00483974,0.00399582,0.113515,-0.297592,-0.0997086,-0.0989418
-1.55243,0.00525765,0.00424332,0.115815,-0.296059,-0.0974083,-0.0974083
-1.55801,0.00701126,0.00420698,0.11735,-0.294524,-0.0958738,-0.0958738
-1.56465,0.00662177,0.00503339,0.118883,-0.293757,-0.0943403,-0.0943403
-1.57049,0.0059815,0.00421919,0.119651,-0.292224,-0.0928059,-0.0920391
-1.57681,0.00590291,0.00339178,0.121184,-0.290689,-0.0905046,-0.0912724
-1.58296,0.00609104,0.00227586,0.122719,-0.289156,-0.0889711,-0.0889711
-1.58872,0.00638159,0.00111733,0.124252,-0.287621,-0.0874367,-0.0874367
-1.5947,0.00663479,0.000873736,0.125787,-0.286088,-0.0851364,-0.0859032
-1.59987,0.00720883,3.94E-05,0.12732,-0.284554,-0.083602,-0.083602
-1.60514,0.00709653,0.000104501,0.128855,-0.28302,-0.0820684,-0.0820684
-1.6119,0.00756908,0.00188465,0.130388,-0.281486,-0.080534,-0.0797672
-1.61779,0.00789247,0.00372146,0.131923,-0.279952,-0.0790005,-0.0782328
-1.62193,0.0075902,0.00424297,0.133456,-0.278418,-0.077466,-0.0759325
-1.62662,0.00693702,0.00370409,0.134991,-0.276884,-0.0759325,-0.074398
-1.63233,0.0063496,0.00314812,0.136524,-0.27535,-0.0736313,-0.0720968
-1.63805,0.00625821,0.00263936,0.138825,-0.273048,-0.0720968,-0.0705633
-1.64398,0.00575893,0.00109675,0.140359,-0.271515,-0.0705633,-0.0690289
-1.64969,0.00597373,-0.000199505,0.141893,-0.26998,-0.0690289,-0.0667286
-1.65419,0.00703198,1.72E-05,0.143427,-0.268447,-0.0674953,-0.0651941
-1.65905,0.00736735,0.000897779,0.145728,-0.266912,-0.0659609,-0.0644274
-1.66492,0.00863596,0.00278405,0.147263,-0.264612,-0.0651941,-0.0621262
-1.66842,0.00987809,0.00496039,0.148796,-0.263078,-0.0636606,-0.0613594
-1.67143,0.00883462,0.00564075,0.151097,-0.261544,-0.0621262,-0.0598249
-1.67411,0.00831309,0.00574528,0.152631,-0.259243,0.000766754,-0.0582914
-1.67917,0.00829628,0.00588858,0.154165,-0.257709,0.00230122,-0.056757
-1.68442,0.00865108,0.0064379,0.156466,-0.256175,0.00383472,-0.0552235
-1.69021,0.00882459,0.00647604,0.158,-0.254641,0.00536919,-0.053689
-1.69456,0.00861865,0.00679897,0.159534,-0.25234,0.00690269,-0.0521555
-1.69726,0.00842433,0.00679751,0.161068,-0.250806,0.00920391,-0.050621
-1.69993,0.0101753,0.00639105,0.163369,-0.249272,0.0107374,-0.0490875
-1.70272,0.0111626,0.00658476,0.164903,-0.247738,0.0122719,-0.0475531
-1.70562,0.0117984,0.00647563,0.166437,-0.246204,0.0138054,-0.0460196
-1.70957,0.0113259,0.00759566,0.167971,-0.24467,0.0153399,-0.0444851
-1.71293,0.00931173,0.00836084,0.169505,-0.243136,0.0176411,-0.0429516
-1.71666,0.0076689,0.00931798,0.171039,-0.241602,0.0191746,-0.0414171
-1.71957,0.00823843,0.0104039,0.17334,-0.240068,0.0214758,-0.0391169
-1.72165,0.00777016,0.0105613,0.174874,-0.238534,0.0230093,-0.0375824
-1.72446,0.00751287,0.0112161,0.176408,-0.237,0.0253105,-0.0360489
-1.72704,0.0082116,0.0124608,0.177942,-0.234699,0.026845,-0.0337477
-1.7303,0.00799999,0.0138925,0.179476,-0.233165,0.0283785,-0.0314465
-1.73313,0.00873471,0.0143363,0.18101,-0.231631,0.0306797,-0.0299129
-1.73568,0.00947429,0.0141167,0.182544,-0.230097,0.0322132,-0.0276117
-1.7375,0.0094118,0.0145003,0.184845,-0.228563,0.0337477,-0.0260773
-1.73967,0.00799844,0.0142906,0.186378,-0.226262,0.0352812,-0.023777
-1.7423,0.00722949,0.0141244,0.187913,-0.224729,0.0375824,-0.0214758
-1.74445,0.00728057,0.0148126,0.190214,-0.223194,0.0391169,-0.0199413
-1.74662,0.00814264,0.0152725,0.191748,-0.220893,0.0406504,-0.0184078
-1.74868,0.00823478,0.0162443,0.194049,-0.219359,0.0421848,-0.0168734
-1.74965,0.00842569,0.0170799,0.195582,-0.217058,0.0437183,-0.0145731
-1.75166,0.00841995,0.0171997,0.197884,-0.215525,0.0452528,-0.0130386
-1.75255,0.0093692,0.0174042,0.199417,-0.213223,0.0467863,-0.0122719
-1.75371,0.00931726,0.0175465,0.201718,-0.211689,0.0490875,-0.0107374
-1.75445,0.00832768,0.018268,0.203253,-0.209389,0.050621,-0.00920391
-1.7546,0.00922774,0.017851,0.205553,-0.207854,0.0521555,-0.00766945
-1.75645,0.0110598,0.0186178,0.207088,-0.205553,0.053689,-0.00613594
